Price,Zip,My university,Distance to the university (in miles),Address,Bathrooms,Bedrooms,LivingArea,Latitude,Longitude,DetailURL
1439,78758,UT Austin,7.44,"11011 Domain Dr, Austin, TX",1,1,,30.39632,-97.72627,zillow.com/apartments/austin-tx/villages-at-domain/5XhtFS/
1232,78748,UT Austin,10.96,"11301 Farrah Ln, Austin, TX",1,1,,30.14036,-97.80052,zillow.com/apartments/austin-tx/landing-at-double-creek/9ggLXp/
1325,78751,UT Austin,1.01,"3914 Avenue D, Austin, TX",1,1,,30.303387,-97.73333,zillow.com/b/mark-v-austin-tx-5XjxvH/
1425,78724,UT Austin,9.22,"10346 Blue Bluff Rd, Austin, TX",1,1,,30.318628,-97.58585,zillow.com/apartments/austin-tx/citizen-house-blue-bluff/CZ8s5f/
1708,78735,UT Austin,8.04,"2716 Barton Creek Blvd, Austin, TX",1,1,,30.293428,-97.87121,zillow.com/apartments/austin-tx/barton-creek-villas/5Xht8S/
1775,78741,UT Austin,3.31,"1400 Royal Crest Dr, Austin, TX",1,1,,30.24167,-97.72882,zillow.com/apartments/austin-tx/alexan-riverside/C8TPsD/
2249,78701,UT Austin,1.82,"110 San Antonio St, Austin, TX",1,1,,30.265287,-97.749466,zillow.com/apartments/austin-tx/northshore-austin/65dF7Z/
1495,78705,UT Austin,0.6,"2515 Pearl St, Austin, TX",1,1,,30.290554,-97.74633,zillow.com/apartments/austin-tx/texan-pearl/5XjfMM/
2243,78701,UT Austin,1.48,"615 W 7th St, Austin, TX",1,1,,30.270493,-97.748856,zillow.com/apartments/austin-tx/seven/5jJFL9/
1340,78717,UT Austin,14.16,"9019 N Lake Creek Pkwy, Austin, TX",1,1,,30.48625,-97.80104,zillow.com/apartments/austin-tx/avery-oaks/C2XVKP/
1148,78758,UT Austin,8.88,"12345 Lamplight Village Ave, Austin, TX",1,1,,30.412535,-97.695335,zillow.com/apartments/austin-tx/renaissance-at-north-bend/5XhtBn/
1259,78729,UT Austin,13.07,"9826 N Lake Creek Pkwy, Austin, TX",1,1,,30.471613,-97.79376,zillow.com/b/bexley-at-whitestone-austin-tx-5jCjYV/
1149,78729,UT Austin,11.56,"8601 Anderson Mill Rd, Austin, TX",1,1,,30.454153,-97.767746,zillow.com/apartments/austin-tx/bexley-at-anderson-mill/5Xht55/
1922,78702,UT Austin,1.42,"1000 San Marcos St, Austin, TX",1,1,,30.269035,-97.73125,zillow.com/apartments/austin-tx/amli-eastside/5XhsyB/
1586,78701,UT Austin,1.77,"710 E 3rd St, Austin, TX",1,1,,30.263382,-97.736305,zillow.com/apartments/austin-tx/3waller/BPWHmN/
1679,78751,UT Austin,1.93,"105 W 51st St, Austin, TX",1,1,,30.315027,-97.72458,zillow.com/apartments/austin-tx/waller-creekside/5XrXYP/
1183,78717,UT Austin,13.49,"9520 Spectrum Dr, Austin, TX",1,1,,30.482141,-97.77008,zillow.com/apartments/austin-tx/95twenty-apartments/5XkbB8/
1120,78741,UT Austin,5.15,"2405 Montopolis Dr, Austin, TX",1,1,,30.219723,-97.704704,zillow.com/apartments/austin-tx/the-mont/BPNRhh/
1100,78754,UT Austin,5.15,"8054 Exchange Dr, Austin, TX",1,1,,30.330648,-97.66493,zillow.com/apartments/austin-tx/creekstone/5Xht9Q/
1489,78717,UT Austin,13.46,"15222 N Fm 620 Rd, Austin, TX",1,1,,30.483809,-97.741875,zillow.com/apartments/austin-tx/the-avery/C5c4tH/
1523,78753,UT Austin,8.42,"12217 N Interstate Highway 35, Austin, TX",1,1,,30.397142,-97.67131,zillow.com/b/the-upland-austin-tx-C76ZMt/
1229,78750,UT Austin,9.35,"9900 McNeil Dr, Austin, TX",1,1,,30.395758,-97.83281,zillow.com/apartments/austin-tx/bridge-at-ribelin-ranch/5XhswV/
1265,78613,UT Austin,13.49,"13010 Ridgeline Blvd, Cedar Park, TX",1,1,,30.47306,-97.812,zillow.com/apartments/cedar-park-tx/lakeline-crossing/B6yVBp/
1365,78758,UT Austin,6.77,"10301 Burnet Rd, Austin, TX",1,1,,30.386227,-97.72185,zillow.com/apartments/austin-tx/windsor-burnet/9LTFhj/
1245,78735,UT Austin,8.08,"6636 W William Cannon Dr, Austin, TX",1,1,,30.244474,-97.86164,zillow.com/apartments/austin-tx/lantana-ridge/5Xht5d/
1160,78753,UT Austin,5.28,"8912 N Lamar Blvd, Austin, TX",1,1,,30.358967,-97.70079,zillow.com/apartments/austin-tx/the-ivy-apartments/5XhtGd/
1431,78756,UT Austin,2.84,"5453 Burnet Rd, Austin, TX",1,1,,30.33013,-97.73915,zillow.com/apartments/austin-tx/burnet-flats/5YyFzy/
1640,78758,UT Austin,7.29,"11400 Domain Dr, Austin, TX",1,1,,30.394072,-97.72417,zillow.com/apartments/austin-tx/residences-at-the-domain/5Xht9M/
1990,78758,UT Austin,7.69,"11310 Domain Dr FLOOR 3-ID203, Austin, TX 78758",1,1,737,30.39997,-97.72547,zillow.com/homedetails/11310-Domain-Dr-FLOOR-3-ID203-Austin-TX-78758/2056069216_zpid/
1540,78731,UT Austin,2.36,"4330 Bull Creek Rd, Austin, TX",1,1,,30.319307,-97.755,zillow.com/apartments/austin-tx/maa-west-austin/5Xht7Z/
988,78759,UT Austin,8.34,"11215 Research Blvd, Austin, TX",1,1,,30.409592,-97.74292,zillow.com/apartments/austin-tx/maa-balcones-woods/5Xhsy2/
1185,78745,UT Austin,10.68,"7655 Ranch Rd N, Austin, TX",1,1,,30.408777,-97.84975,zillow.com/apartments/austin-tx/ellwood-at-lake-travis/BpdHPG/
1250,78751,UT Austin,1.67,"4605 Avenue A, Austin, TX",1,1,,30.312605,-97.73016,zillow.com/apartments/austin-tx/the-sidney/5Xr3Wb/
1199,78705,UT Austin,0.93,"1302 W 24th St, Austin, TX",1,1,,30.288975,-97.752106,zillow.com/apartments/austin-tx/pease-parkside-apartments/5XhtFp/
1190,78753,UT Austin,8.35,"305 E Yager Ln, Austin, TX",1,1,,30.394463,-97.668076,zillow.com/apartments/austin-tx/oxford-at-tech-ridge/5XhsxL/
1055,78704,UT Austin,3.58,"1221 Algarita Ave, Austin, TX",1,1,,30.237392,-97.74151,zillow.com/apartments/austin-tx/cascade-apartments/5XhsxS/
1328,78745,UT Austin,9.25,"7500 S Interstate Highway 35 Frontage Rd, Austin, TX",1,1,,30.162748,-97.7876,zillow.com/apartments/austin-tx/ladera-apartment-homes/BsJSfs/
