Price,Zip,My university,Distance to the university,Address,Bathrooms,Bedrooms,LivingArea,Rent_estimate,DetailURL,pred_price
1250,78756,UT Austin,2.49,"The Rosedale, 2211 Loop 14936974, Austin, TX 78756",1,1,625,1175.0,zillow.com/homedetails/2211-Loop-14936974-Austin-TX-78756/2057425716_zpid/,1248.1
1250,78756,UT Austin,2.49,"The Rosedale, 2211 Loop 15031115, Austin, TX 78756",1,1,625,1175.0,zillow.com/homedetails/2211-Loop-15031115-Austin-TX-78756/2056603172_zpid/,1248.1
1200,78704,UT Austin,4.68,"City Scene One, 3819 Southway Dr APT 221, Austin, TX 78704",1,1,620,1486.0,zillow.com/b/city-scene-one-austin-tx-5XhtCC/,1315.09
2550,78752,UT Austin,3.04,"6419 Airport Blvd FLOOR 2-ID199, Austin, TX 78752",1,1,744,,zillow.com/homedetails/6419-Airport-Blvd-FLOOR-2-ID199-Austin-TX-78752/2055636639_zpid/,2373.8866666666668
4000,78701,UT Austin,1.76,"210 Lavaca St APT 1806, Austin, TX 78701",1,1,641,2279.0,zillow.com/homedetails/210-Lavaca-St-APT-1806-Austin-TX-78701/110539082_zpid/,2269.93
2600,78702,UT Austin,2.01,"Juno East Austin, 400 Comal St #504, Austin, TX 78702",1,1,684,2239.0,zillow.com/apartments/austin-tx/juno-east-austin/9khFNP/,2623.75
1025,78753,UT Austin,4.37,"Towne Oaks II, 615 E Wonsley Dr, Austin, TX 78753",1,1,750,1096.0,zillow.com/apartments/austin-tx/towne-oaks-ii/5XhtCw/,1201.04
1250,78704,UT Austin,4.31,"519 Lightsey Rd APT 206, Austin, TX 78704",1,1,600,1498.0,zillow.com/homedetails/519-Lightsey-Rd-APT-206-Austin-TX-78704/2111861504_zpid/,1416.43
1450,78703,UT Austin,1.38,"1610 Enfield Rd APT 304, Austin, TX 78703",1,1,650,1577.0,zillow.com/homedetails/1610-Enfield-Rd-APT-304-Austin-TX-78703/2082869702_zpid/,2047.745
1100,78705,UT Austin,0.87,"Peppertree Apartments, 408 W 37th St APT 3B, Austin, TX 78705",1,1,640,1316.0,zillow.com/apartments/austin-tx/peppertree-apartments/5Xrqwx/,1520.05
1244,78724,UT Austin,6.39,"The Terrace at Walnut Creek, 8712 Old Manor Rd, Austin, TX 78724",1,1,662,1374.0,zillow.com/apartments/austin-tx/the-terrace-at-walnut-creek/BCMLcN/,1320.33
2200,78705,UT Austin,0.72,"913 Duncan Ln #103, Austin, TX 78705",1,1,701,2396.0,zillow.com/homedetails/913-Duncan-Ln-103-Austin-TX-78705/337143618_zpid/,1947.13
1950,78703,UT Austin,1.94,"5th Street Commons, 1611 W 5th St APT 228, Austin, TX 78703",1,1,759,2262.0,zillow.com/b/5th-street-commons-austin-tx-5Xht3x/,2039.12
1125,78753,UT Austin,4.59,"The Hedge Apartments, 8300 N Interstate Highway 35, Austin, TX 78753",1,1,351,,zillow.com/apartments/austin-tx/the-hedge-apartments/9WXbFz/,1104.49
1000,78702,UT Austin,3.12,"502 Springdale Rd, 502 Springdale Rd #4, Austin, TX 78702",1,1,150,,zillow.com/b/502-springdale-rd-austin-tx-9LRQ4m/,1300.16
4508,78758,UT Austin,7.41,"Maravilla at the Domain, 11001 Austin Ln, Austin, TX 78758",1,1,753,,zillow.com/apartments/austin-tx/maravilla-at-the-domain/BKB5Py/,3364.2533333333336
1375,78705,UT Austin,0.86,"1904 Robbins Pl APT 4, Austin, TX 78705",1,1,425,1400.0,zillow.com/homedetails/1904-Robbins-Pl-APT-4-Austin-TX-78705/2057432217_zpid/,1354.75
1195,78757,UT Austin,4.2 ,"Colony, The, 2211 Richcreek Rd APT 203, Austin, TX 78757",1,1,650,1746.0,"zillow.com/b/colony,-the-austin-tx-5Xht2Y/",1242.51
1241,78705,UT Austin,0.46,"Mark Embers, 3106 Speedway Mked #202, Austin, TX 78705",1,1,620,1244.0,zillow.com/b/mark-embers-austin-tx-C7B3Mb/,1287.13
1320,78751,UT Austin,1.46,"108 Place, 108 W 45th St APT 202, Austin, TX 78751",1,1,625,1737.0,zillow.com/apartments/austin-tx/108-place/5Xjxtf/,1338.75
1225,78705,UT Austin,0.59,"Marian Condos, 2704 Salado St APT 206, Austin, TX 78705",1,1,500,1250.0,zillow.com/b/marian-condos-austin-tx-5XhtBb/,1218.95
1250,78756,UT Austin,2.49,"The Rosedale, 2211 Loop 15177234, Austin, TX 78756",1,1,625,,zillow.com/homedetails/2211-Loop-15177234-Austin-TX-78756/2055945630_zpid/,1248.1
1250,78748,UT Austin,9.48,"9628 Sugar Hill Dr, 9628 Sugar Hill Dr #A, Austin, TX 78748",1,1,650,1683.0,zillow.com/b/9628-sugar-hill-dr-austin-tx-5YbZ7N/,1274.42
1100,78705,UT Austin,0.62,"Swisher Apartments, 2800 Swisher St APT 117, Austin, TX 78705",1,1,525,1200.0,zillow.com/b/swisher-apartments-austin-tx-5XtVp5/,1134.65
1300,78704,UT Austin,4.6 ,"3438 Willowrun Drive, 3438 Willowrun Dr APT A, Austin, TX 78704",1,1,700,2238.0,zillow.com/b/3438-willowrun-drive-austin-tx-5bgLcf/,1502.82
1700,78702,UT Austin,1.03,"1701 E Martin Luther King Jr Blvd #209, Austin, TX 78702",1,1,630,1586.0,zillow.com/homedetails/1701-E-Martin-Luther-King-Jr-Blvd-209-Austin-TX-78702/2078751759_zpid/,1796.3753571428572
1350,78741,UT Austin,3.91,"2124 Burton Dr APT 266, Austin, TX 78741",1,1,608,1227.0,zillow.com/homedetails/2124-Burton-Dr-APT-266-Austin-TX-78741/70356233_zpid/,1384.69
950,78758,UT Austin,5.36,"8907 Parkfield Dr APT 202, Austin, TX 78758",1,1,800,1693.0,zillow.com/homedetails/8907-Parkfield-Dr-APT-202-Austin-TX-78758/2109229092_zpid/,1104.1666666666665
1795,78703,UT Austin,1.45,"1115 W 10th St APT 110, Austin, TX 78703",1,1,678,1744.0,zillow.com/homedetails/1115-W-10th-St-APT-110-Austin-TX-78703/110538743_zpid/,1971.2
1200,78751,UT Austin,1.15,"Telluride, 4100 Avenue C APT 208, Austin, TX 78751",1,1,525,1299.0,zillow.com/apartments/austin-tx/telluride/5Xht9j/,1242.95
